entity,property,value
http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/bibliographicCitation,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/contributor,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/created,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/creator,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/description,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/license,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/source,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.org/dc/terms/title,http://www.w3.org/2000/01/rdf-schema#label,
http://www.geneontology.org/formats/oboInOwl#SubsetProperty,http://www.w3.org/2000/01/rdf-schema#label,
http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.w3.org/2000/01/rdf-schema#label,
http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,http://www.w3.org/2000/01/rdf-schema#label,
http://www.geneontology.org/formats/oboInOwl#id,http://www.w3.org/2000/01/rdf-schema#label,
http://www.geneontology.org/formats/oboInOwl#inSubset,http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2000/01/rdf-schema#Literal,http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2002/07/owl#Thing,http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2004/02/skos/core#example,http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/2000/01/rdf-schema#label,
https://w3id.org/pmd/co/PMD_0000912,http://www.w3.org/2000/01/rdf-schema#label,
urn:swrl#d,http://www.w3.org/2000/01/rdf-schema#label,
urn:swrl#e,http://www.w3.org/2000/01/rdf-schema#label,
urn:swrl:var#d,http://www.w3.org/2000/01/rdf-schema#label,
urn:swrl:var#e,http://www.w3.org/2000/01/rdf-schema#label,
